SpellId,Name,CastingTime,Range,V,S,M,Duration,Concentration,Level,School
1,Acid Splash,1 Action,60ft,1,1,,Instantaneous,0,0,Conjuration
2,Aid,1 Action,30ft,1,1,Strip of White Cloth,8 hours,0,2,Abjuration
3,Alarm,1 minute,30ft,1,1,A tiny bell and a piece of fine silver wire,8 hours,0,1,abjuration
4,Alter Self,1 Action,Self,1,1,,up to 1 hour,1,2,transmutation
5,Animal Friendship,1 Action,30 ft,1,1,Morsel of Food,24 hours,0,1,enchantment
6,Animal Messenger,1 Action,30 ft,1,1,Morsel of Food,24 hours,0,2,enchantment
7,Animal Shapes,1 Action,30 ft,1,1,,up to 24 hours,1,8,transmutation
8,Animate Dead,1 minute,10 ft,1,1,"drop of blood, flesh,  bone dust",Instantaneous,0,3,necromancy
9,Animate Objects,1 Action,120 ft,1,1,,up to 1 minute,1,5,transmutation
10,Antilife Shell,1 Action,Self,1,1,,up to 1 hour,1,5,abjuration
11,Antimagic Field,1 Action,Self,1,1,pinch of bowdered iron,up to 1 hour,1,8,abjuration
12,Antipathy/Sympathy,1 hour,60 ft,1,1,alum soaked in vinegar or drop of honey,10 days,0,8,enchantment
13,Arcane Eye,1 Action,30 ft,1,1,bit of bat fur,up to 1 hour,1,4,divination
14,Arcane Gate,1 Action,500 ft,1,1,,up to 10 minutes,1,6,conjuration
15,Arcane Lock,1 Action,Touch,1,1,Gold dust worth >= 25gp which gets consumed,until dispelled,0,2,abjuration
16,Armor of Agathys,1 Action,Self,1,1,cup of water,1 hour,0,1,abjuration
17,Arms of Hadar,1 Action,Self,1,1,,Instantaneous,0,1,conjuration
18,Astral Projection,1 hour,10 ft,1,1,"on jacinth worth at least 1000gp per creature, silver bar worth > 100gp",Special,0,9,necromancy
19,Augury,1 minute,Self,1,1,"special sticks, bones, or similar tokens worth at least 25gp",Instantaneous,0,2,divination
20,Aura of Life,1 Action,Self,1,0,,up to 10 minutes,1,4,abjuration
21,Aura of Purity,1 Action,Self,1,0,,up to 10 minutes,1,4,abjuration
22,Aura of Vitality,1 Action,Self,1,0,,up to 1 m inute,1,3,evocation
23,Awaken,8 hours,Touch,1,1,"agate worth >=1000gp, consumed",Instantaneous,0,5,transmutation
24,Bane,1 Action,30 ft,1,1,"drop of blood, flesh,  bone dust",up to 1 minute,1,1,enchantment
25,Banishing Smite,1 Bonus Action,Self,1,0,,up to 1 minute,1,5,abjuration
26,Banishment,1 Action,60 ft,1,1,an item distasteful to the target,up to 1 minute,1,4,abjuration
27,Barkskin,1 Action,Touch,1,1,oak bark,up to 1 hour,1,2,transmutation
28,Beacon of Hope,1 Action,30 ft,1,1,,up to 1 minute,1,3,abjuration
29,Beast Sense,1 Action,Touch,0,1,,up to 1 hour,1,2,divination
30,Bestow Curse,1 Action,Touch,1,1,,up to 1 minute,1,3,necromancy
31,Bigby's Hand,1 Action,120 ft,1,1,"eggshell, snakeskin glove",up to 1 minute,1,5,evocation
32,Blade Barrier,1 Action,90 ft,1,1,,up to 10 minutes,1,6,evocation
33,Blade Ward,1 Action,Self,1,1,,1  round,0,0,Abjuration
34,Bless,1 Action,30 ft,1,1,sprinkling of holy water,up to 1 minute,1,1,enchantment
35,Blight,1 Action,30 ft,1,1,,Instantaneous,0,4,necromancy
36,Blinding Smite,1 bonus action,self,1,0,,up to 1 minute,0,3,evocation
37,Blindness/Deafness,1 Action,30 ft,1,0,,1 minute,0,2,necromancy
38,Blink,1 Action,Self,1,1,,1 minute,0,3,transmutation
39,Blur,1 Action,Self,1,0,,up to 1 minute,1,2,illusion
40,Branding Smite,1 bonus action,Self,1,0,,up to 1 minute,0,2,evocation
41,Burning Hands,1 Action,Self,1,1,,Instantaneous,0,1,evocation
42,Call Lightning,1 Action,120 ft,1,1,,up to 10 minutes,1,3,conjuration
43,Calm Emotions,1 Action,60 ft,1,1,,up to 1 minute,1,2,enchantment
